"fixture_mid","season","competition_name","fixture_datetime","fixture_round","home_team","away_team"
ce9f02ca-6f64-4037-96b1-abadee2cef28,"2022",Super Rugby Pacific,2022-02-18 08:45:00.000,"1",NSW Waratahs,Fijian Drua
"4e966c45-e72c-486a-a99d-636d3f06571a","2022",Super Rugby Pacific,2022-02-19 03:35:00.000,"1",Chiefs,Highlanders
"0746e3f2-bdad-4b2d-aa05-dbf04ee8786c","2022",Super Rugby Pacific,2022-02-19 06:05:00.000,"1",Crusaders,Hurricanes
bb59444f-657f-418d-8f30-d140fd9726f2,"2022",Super Rugby Pacific,2022-02-19 08:45:00.000,"1",Reds,Melbourne Rebels
"0895b32a-bda9-42a4-964a-06e789d2264b","2022",Super Rugby Pacific,2022-02-20 03:00:00.000,"1",Brumbies,Western Force
"2cac8775-f9e6-48ce-948a-5f13698e3703","2022",Super Rugby Pacific,2022-02-25 06:05:00.000,"2",Highlanders,Crusaders
"1ecbb577-028a-4df2-a703-fd963f55c1e2","2022",Super Rugby Pacific,2022-02-25 08:45:00.000,"2",NSW Waratahs,Reds
"4571c894-0adf-40ff-8782-f10f54436977","2022",Super Rugby Pacific,2022-02-26 03:35:00.000,"2",Brumbies,Fijian Drua
"1f0f6046-caaa-40f3-9da2-6193cf0b3032","2022",Super Rugby Pacific,2022-02-26 06:05:00.000,"2",Blues,Hurricanes
"1708daa0-bac2-4c04-8cef-af90e2463210","2022",Super Rugby Pacific,2022-02-26 08:45:00.000,"2",Melbourne Rebels,Western Force
cc639b36-f003-4a92-ba49-74b96d7d2a28,"2022",Super Rugby Pacific,2022-03-04 06:05:00.000,"3",Moana Pasifika,Crusaders
"6a8f3c43-de25-4251-aa67-04c49b8ca1a8","2022",Super Rugby Pacific,2022-03-04 08:45:00.000,"3",Fijian Drua,Melbourne Rebels
"58c8c426-de60-4513-8657-2fae3ef5aeb0","2022",Super Rugby Pacific,2022-03-04 11:00:00.000,"3",Western Force,Reds
"05c4a6c9-a8dd-4796-ae42-f5117deb0134","2022",Super Rugby Pacific,2022-03-05 03:35:00.000,"3",Blues,Chiefs
"87eb2df7-f35f-44dd-b840-8be50b32b31a","2022",Super Rugby Pacific,2022-03-05 06:05:00.000,"3",Hurricanes,Highlanders
"84765e6b-1bfd-46a6-a4a5-fbe02dfcb6e5","2022",Super Rugby Pacific,2022-03-05 08:45:00.000,"3",Brumbies,NSW Waratahs
b1bdbe7d-0d17-44ea-9219-48b7b0f875cb,"2022",Super Rugby Pacific,2022-03-11 06:05:00.000,"4",Blues,Highlanders
"095f2848-ec2b-4af9-8e1f-1407cb5a54d3","2022",Super Rugby Pacific,2022-03-11 08:45:00.000,"4",Melbourne Rebels,Brumbies
"8f954929-507f-4fb5-b473-582762503a5f","2022",Super Rugby Pacific,2022-03-12 06:05:00.000,"4",Crusaders,Chiefs
"777e7116-c768-4cd8-8486-bf1ebb150669","2022",Super Rugby Pacific,2022-03-12 08:45:00.000,"4",Reds,Fijian Drua
"238c729b-445c-4c5a-88ba-15db265a960d","2022",Super Rugby Pacific,2022-03-13 03:00:00.000,"4",NSW Waratahs,Western Force
a66d7d22-64b3-431e-8d19-9653721752a8,"2022",Super Rugby Pacific,2022-03-18 08:45:00.000,"5",Brumbies,Reds
